Employment Type,Afghanistan,Albania,Angola,Argentina,Armenia,Australia,Austria,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Botswana,Brazil,Bulgaria,Burkina Faso,Cabo Verde,Cambodia,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Croatia,Cyprus,Czech Republic,Dem. Rep. Congo,Denmark,Djibouti,Dominican Republic,East Asia & Pacific,Ecuador,"Egypt, Arab Rep.",El Salvador,Estonia,Eswatini,Ethiopia,Europe & Central Asia,Finland,France,Gabon,Georgia,Ghana,Global,Greece,Guatemala,Guinea,Guinea-Bissau,Honduras,Hungary,Iceland,India,Indonesia,Ireland,Italy,Jamaica,Jordan,Kazakhstan,Kenya,Kosovo,Latin America & Caribbean,Latvia,Lesotho,Liberia,Lithuania,Luxembourg,Madagascar,Malawi,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Micronesia,Middle East & North Africa,Moldova,Mongolia,Morocco,Mozambique,Namibia,Nepal,Nicaragua,Niger,Nigeria,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Rwanda,São Tomé and Principe,Senegal,Serbia,Sierra Leone,Slovak Republic,Solomon Islands,Somalia,South Africa,South Asia,Spain,Sri Lanka,Sub-Saharan Africa,Switzerland,Tajikistan,Tanzania,Thailand,The Gambia,Timor-Leste,Togo,Tunisia,Turkey,Uganda,Ukraine,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,West Bank and Gaza,Zambia,Zimbabwe
Private,7,30,31,44,38,47,40,20,36,25,24,32,48,45,43,29,30,44,27,13,8,43,41,43,20,23,36,41,45,40,24,38,17,45,39,33,14,35,44,44,42,39,40,39,32,42,28,33,41,26,14,20,30,39,35,16,32,40,39,44,18,45,40,22,38,44,40,20,44,43,36,26,27,30,34,15,37,33,44,21,45,43,19,24,41,28,35,14,38,33,10,39,48,37,39,33,40,43,39,47,42,37,21,41,15,41,30,23,42,20,42,30,29,38,32,32,45,28,23,37,31,22,32,40,39,47,46,34,33,38,12,23,32
Public,10,46,31,52,59,59,66,26,67,22,20,49,53,58,69,36,50,26,35,22,21,57,43,49,31,30,46,68,56,73,22,70,19,53,44,47,23,43,75,46,41,62,78,70,37,53,37,46,53,47,26,17,58,69,77,31,44,71,62,59,20,51,36,34,51,77,49,19,77,50,44,32,46,25,59,24,26,52,31,29,64,61,26,33,56,28,53,31,33,71,13,52,50,50,43,55,73,69,61,63,42,35,31,65,25,71,39,21,56,28,62,46,34,69,39,38,46,30,22,20,34,29,37,62,70,56,53,49,57,45,25,38,43
