Country,Elementary occupations,Clerical occupations,Technicians,Professionals,Senior officials
Turkey,8.0,30.0,26.0,66.0,40.0
Turkmenistan,,,,,
Uganda,3.0,53.0,36.0,46.0,40.0
Ukraine,,,,,
United Kingdom,19.0,28.0,37.0,49.0,22.0
United States,7.0,16.0,16.0,25.0,12.0
Uruguay,7.0,30.0,30.0,53.0,31.0
Uzbekistan,,37.0,12.0,73.0,73.0
Venezuela,,,,,
Vietnam,6.0,55.0,67.0,70.0,74.0
West Bank and Gaza,13.0,38.0,47.0,64.0,69.0
Zambia,34.0,56.0,57.0,71.0,44.0
Zimbabwe,7.0,34.0,46.0,74.0,19.0
